 x,y,z,P,u,v,w,V
  0.0645,   0.8387,   0.0000,   0.0141,  0.13180,  0.05445,  0.00000,  0.14260
  0.0645,   0.8710,   0.0000,   0.0099,  0.10994,  0.05724,  0.00000,  0.12395
  0.0645,   0.9032,   0.0000,   0.0062,  0.08616,  0.05916,  0.00000,  0.10452
  0.0645,   0.9355,   0.0000,   0.0031,  0.06029,  0.06016,  0.00000,  0.08517
  0.0645,   0.9677,   0.0000,   0.0009,  0.03188,  0.06033,  0.00000,  0.06824
  0.0645,   1.0000,   0.0000,   0.0001,  0.00000,  0.06009,  0.00000,  0.06009
  0.0968,   0.0000,   0.0000,   0.0008,  0.00000, -0.08715,  0.00000,  0.08715
  0.0968,   0.0323,   0.0000,   0.0017,  0.03169, -0.08712,  0.00000,  0.09270
  0.0968,   0.0645,   0.0000,   0.0040,  0.05934, -0.08633,  0.00000,  0.10476
  0.0968,   0.0968,   0.0000,   0.0070,  0.08421, -0.08447,  0.00000,  0.11928
  0.0968,   0.1290,   0.0000,   0.0107,  0.10697, -0.08146,  0.00000,  0.13446
  0.0968,   0.1613,   0.0000,   0.0148,  0.12789, -0.07736,  0.00000,  0.14947
  0.0968,   0.1935,   0.0000,   0.0191,  0.14706, -0.07229,  0.00000,  0.16387
  0.0968,   0.2258,   0.0000,   0.0236,  0.16447, -0.06640,  0.00000,  0.17737
  0.0968,   0.2581,   0.0000,   0.0279,  0.18008, -0.05983,  0.00000,  0.18976
  0.0968,   0.2903,   0.0000,   0.0320,  0.19383, -0.05272,  0.00000,  0.20088
  0.0968,   0.3226,   0.0000,   0.0358,  0.20571, -0.04518,  0.00000,  0.21061
  0.0968,   0.3548,   0.0000,   0.0391,  0.21566, -0.03731,  0.00000,  0.21887
  0.0968,   0.3871,   0.0000,   0.0418,  0.22368, -0.02921,  0.00000,  0.22558
  0.0968,   0.4194,   0.0000,   0.0439,  0.22975, -0.02095,  0.00000,  0.23070
  0.0968,   0.4516,   0.0000,   0.0454,  0.23383, -0.01259,  0.00000,  0.23417
  0.0968,   0.4839,   0.0000,   0.0461,  0.23590, -0.00420,  0.00000,  0.23594
  0.0968,   0.5161,   0.0000,   0.0461,  0.23590,  0.00420,  0.00000,  0.23594
  0.0968,   0.5484,   0.0000,   0.0454,  0.23383,  0.01259,  0.00000,  0.23417
  0.0968,   0.5806,   0.0000,   0.0439,  0.22975,  0.02095,  0.00000,  0.23070
  0.0968,   0.6129,   0.0000,   0.0418,  0.22368,  0.02921,  0.00000,  0.22558
  0.0968,   0.6452,   0.0000,   0.0391,  0.21566,  0.03731,  0.00000,  0.21887
  0.0968,   0.6774,   0.0000,   0.0358,  0.20571,  0.04518,  0.00000,  0.21061
  0.0968,   0.7097,   0.0000,   0.0320,  0.19383,  0.05272,  0.00000,  0.20088
  0.0968,   0.7419,   0.0000,   0.0279,  0.18008,  0.05983,  0.00000,  0.18976
  0.0968,   0.7742,   0.0000,   0.0236,  0.16447,  0.06640,  0.00000,  0.17737
  0.0968,   0.8065,   0.0000,   0.0191,  0.14706,  0.07229,  0.00000,  0.16387
  0.0968,   0.8387,   0.0000,   0.0148,  0.12789,  0.07736,  0.00000,  0.14947
  0.0968,   0.8710,   0.0000,   0.0107,  0.10697,  0.08146,  0.00000,  0.13446
  0.0968,   0.9032,   0.0000,   0.0070,  0.08421,  0.08447,  0.00000,  0.11928
  0.0968,   0.9355,   0.0000,   0.0040,  0.05934,  0.08633,  0.00000,  0.10476
  0.0968,   0.9677,   0.0000,   0.0017,  0.03169,  0.08712,  0.00000,  0.09270
  0.0968,   1.0000,   0.0000,   0.0008,  0.00000,  0.08715,  0.00000,  0.08715
  0.1290,   0.0000,   0.0000,   0.0020,  0.00000, -0.11212,  0.00000,  0.11212
  0.1290,   0.0323,   0.0000,   0.0029,  0.03106, -0.11182,  0.00000,  0.11606
  0.1290,   0.0645,   0.0000,   0.0053,  0.05764, -0.11042,  0.00000,  0.12456
  0.1290,   0.0968,   0.0000,   0.0084,  0.08129, -0.10770,  0.00000,  0.13494
  0.1290,   0.1290,   0.0000,   0.0120,  0.10283, -0.10365,  0.00000,  0.14600
  0.1290,   0.1613,   0.0000,   0.0160,  0.12263, -0.09833,  0.00000,  0.15718
  0.1290,   0.1935,   0.0000,   0.0203,  0.14081, -0.09187,  0.00000,  0.16813
  0.1290,   0.2258,   0.0000,   0.0246,  0.15738, -0.08442,  0.00000,  0.17859
  0.1290,   0.2581,   0.0000,   0.0289,  0.17229, -0.07613,  0.00000,  0.18836
  0.1290,   0.2903,   0.0000,   0.0329,  0.18549, -0.06714,  0.00000,  0.19727
  0.1290,   0.3226,   0.0000,   0.0366,  0.19693, -0.05760,  0.00000,  0.20518
  0.1290,   0.3548,   0.0000,   0.0399,  0.20655, -0.04762,  0.00000,  0.21197
  0.1290,   0.3871,   0.0000,   0.0425,  0.21434, -0.03732,  0.00000,  0.21756
  0.1290,   0.4194,   0.0000,   0.0446,  0.22025, -0.02679,  0.00000,  0.22187
  0.1290,   0.4516,   0.0000,   0.0460,  0.22425, -0.01612,  0.00000,  0.22482
  0.1290,   0.4839,   0.0000,   0.0467,  0.22629, -0.00538,  0.00000,  0.22635
  0.1290,   0.5161,   0.0000,   0.0467,  0.22629,  0.00538,  0.00000,  0.22635
  0.1290,   0.5484,   0.0000,   0.0460,  0.22425,  0.01612,  0.00000,  0.22482
  0.1290,   0.5806,   0.0000,   0.0446,  0.22025,  0.02679,  0.00000,  0.22187
  0.1290,   0.6129,   0.0000,   0.0425,  0.21434,  0.03732,  0.00000,  0.21756
  0.1290,   0.6452,   0.0000,   0.0399,  0.20655,  0.04762,  0.00000,  0.21197
  0.1290,   0.6774,   0.0000,   0.0366,  0.19693,  0.05760,  0.00000,  0.20518
  0.1290,   0.7097,   0.0000,   0.0329,  0.18549,  0.06714,  0.00000,  0.19727
  0.1290,   0.7419,   0.0000,   0.0289,  0.17229,  0.07613,  0.00000,  0.18836
  0.1290,   0.7742,   0.0000,   0.0246,  0.15738,  0.08442,  0.00000,  0.17859
  0.1290,   0.8065,   0.0000,   0.0203,  0.14081,  0.09187,  0.00000,  0.16813
  0.1290,   0.8387,   0.0000,   0.0160,  0.12263,  0.09833,  0.00000,  0.15718
  0.1290,   0.8710,   0.0000,   0.0120,  0.10283,  0.10365,  0.00000,  0.14600
  0.1290,   0.9032,   0.0000,   0.0084,  0.08129,  0.10770,  0.00000,  0.13494
  0.1290,   0.9355,   0.0000,   0.0053,  0.05764,  0.11042,  0.00000,  0.12456
  0.1290,   0.9677,   0.0000,   0.0029,  0.03106,  0.11182,  0.00000,  0.11606
  0.1290,   1.0000,   0.0000,   0.0020,  0.00000,  0.11212,  0.00000,  0.11212
  0.1613,   0.0000,   0.0000,   0.0035,  0.00000, -0.13502,  0.00000,  0.13502
  0.1613,   0.0323,   0.0000,   0.0046,  0.02998, -0.13445,  0.00000,  0.13775
  0.1613,   0.0645,   0.0000,   0.0070,  0.05522, -0.13244,  0.00000,  0.14349
  0.1613,   0.0968,   0.0000,   0.0101,  0.07744, -0.12890,  0.00000,  0.15037
  0.1613,   0.1290,   0.0000,   0.0137,  0.09760, -0.12386,  0.00000,  0.15769
  0.1613,   0.1613,   0.0000,   0.0177,  0.11611, -0.11741,  0.00000,  0.16513
  0.1613,   0.1935,   0.0000,   0.0219,  0.13315, -0.10968,  0.00000,  0.17251
  0.1613,   0.2258,   0.0000,   0.0262,  0.14873, -0.10082,  0.00000,  0.17968
  0.1613,   0.2581,   0.0000,   0.0304,  0.16280, -0.09098,  0.00000,  0.18650
  0.1613,   0.2903,   0.0000,   0.0343,  0.17531, -0.08032,  0.00000,  0.19283
  0.1613,   0.3226,   0.0000,   0.0380,  0.18619, -0.06897,  0.00000,  0.19855
  0.1613,   0.3548,   0.0000,   0.0411,  0.19538, -0.05709,  0.00000,  0.20355
