 x,y,z,P,u,v,w,V
  0.0662,   0.8065,   0.0000,  -0.0588, -0.03991,  0.18175,  0.00000,  0.18608
  0.0662,   0.8387,   0.0000,  -0.0740, -0.05028,  0.20434,  0.00000,  0.21044
  0.0662,   0.8710,   0.0000,  -0.0942, -0.06050,  0.22608,  0.00000,  0.23403
  0.0662,   0.9032,   0.0000,  -0.1203, -0.05970,  0.23944,  0.00000,  0.24677
  0.0662,   0.9355,   0.0000,  -0.1498, -0.00653,  0.22599,  0.00000,  0.22609
  0.0662,   0.9677,   0.0000,  -0.1639,  0.22919,  0.14986,  0.00000,  0.27383
  0.0662,   1.0000,   0.0000,  -0.1631,  1.00000,  0.00000,  0.00000,  1.00000
  0.0993,   0.0000,   0.0000,  -0.0067,  0.00000,  0.00000,  0.00000,  0.00000
  0.0993,   0.0323,   0.0000,  -0.0066,  0.00135,  0.00078,  0.00000,  0.00156
  0.0993,   0.0645,   0.0000,  -0.0064,  0.00103,  0.00169,  0.00000,  0.00198
  0.0993,   0.0968,   0.0000,  -0.0063, -0.00016,  0.00271,  0.00000,  0.00271
  0.0993,   0.1290,   0.0000,  -0.0062, -0.00164,  0.00410,  0.00000,  0.00441
  0.0993,   0.1613,   0.0000,  -0.0061, -0.00321,  0.00606,  0.00000,  0.00686
  0.0993,   0.1935,   0.0000,  -0.0059, -0.00477,  0.00873,  0.00000,  0.00995
  0.0993,   0.2258,   0.0000,  -0.0058, -0.00633,  0.01215,  0.00000,  0.01369
  0.0993,   0.2581,   0.0000,  -0.0057, -0.00786,  0.01635,  0.00000,  0.01814
  0.0993,   0.2903,   0.0000,  -0.0058, -0.00939,  0.02134,  0.00000,  0.02332
  0.0993,   0.3226,   0.0000,  -0.0059, -0.01091,  0.02713,  0.00000,  0.02924
  0.0993,   0.3548,   0.0000,  -0.0062, -0.01243,  0.03369,  0.00000,  0.03591
  0.0993,   0.3871,   0.0000,  -0.0067, -0.01395,  0.04103,  0.00000,  0.04334
  0.0993,   0.4194,   0.0000,  -0.0074, -0.01548,  0.04913,  0.00000,  0.05151
  0.0993,   0.4516,   0.0000,  -0.0083, -0.01703,  0.05799,  0.00000,  0.06044
  0.0993,   0.4839,   0.0000,  -0.0096, -0.01864,  0.06759,  0.00000,  0.07012
  0.0993,   0.5161,   0.0000,  -0.0112, -0.02035,  0.07796,  0.00000,  0.08058
  0.0993,   0.5484,   0.0000,  -0.0133, -0.02222,  0.08911,  0.00000,  0.09184
  0.0993,   0.5806,   0.0000,  -0.0158, -0.02433,  0.10107,  0.00000,  0.10396
  0.0993,   0.6129,   0.0000,  -0.0188, -0.02681,  0.11389,  0.00000,  0.11701
  0.0993,   0.6452,   0.0000,  -0.0225, -0.02981,  0.12764,  0.00000,  0.13108
  0.0993,   0.6774,   0.0000,  -0.0269, -0.03355,  0.14239,  0.00000,  0.14629
  0.0993,   0.7097,   0.0000,  -0.0323, -0.03829,  0.15817,  0.00000,  0.16274
  0.0993,   0.7419,   0.0000,  -0.0389, -0.04429,  0.17492,  0.00000,  0.18044
  0.0993,   0.7742,   0.0000,  -0.0468, -0.05170,  0.19231,  0.00000,  0.19914
  0.0993,   0.8065,   0.0000,  -0.0565, -0.06019,  0.20943,  0.00000,  0.21791
  0.0993,   0.8387,   0.0000,  -0.0682, -0.06787,  0.22412,  0.00000,  0.23417
  0.0993,   0.8710,   0.0000,  -0.0818, -0.06847,  0.23184,  0.00000,  0.24174
  0.0993,   0.9032,   0.0000,  -0.0954, -0.04396,  0.22371,  0.00000,  0.22799
