 x,y,z,P,u,v,w,V
  0.1325,   0.9355,   0.0000,  -0.4679,  0.96367, -0.13959,  0.00000,  0.97373
  0.1325,   0.9677,   0.0000,  -0.4657,  0.66702, -0.08592,  0.00000,  0.67253
  0.1325,   1.0000,   0.0000,  -0.4676,  0.00000,  0.00000,  0.00000,  0.00000
  0.1987,   0.0000,   0.0000,  -0.5883,  0.00000,  0.00000,  0.00000,  0.00000
  0.1987,   0.0323,   0.0000,  -0.5819,  0.54547,  0.04779,  0.00000,  0.54756
  0.1987,   0.0645,   0.0000,  -0.5717,  0.87868,  0.09964,  0.00000,  0.88431
  0.1987,   0.0968,   0.0000,  -0.5661,  1.04262,  0.12926,  0.00000,  1.05060
  0.1987,   0.1290,   0.0000,  -0.5646,  1.10827,  0.13775,  0.00000,  1.11679
  0.1987,   0.1613,   0.0000,  -0.5662,  1.12352,  0.13216,  0.00000,  1.13127
  0.1987,   0.1935,   0.0000,  -0.5699,  1.11605,  0.11904,  0.00000,  1.12238
  0.1987,   0.2258,   0.0000,  -0.5747,  1.10061,  0.10297,  0.00000,  1.10541
  0.1987,   0.2581,   0.0000,  -0.5799,  1.08434,  0.08663,  0.00000,  1.08780
  0.1987,   0.2903,   0.0000,  -0.5849,  1.07018,  0.07131,  0.00000,  1.07255
  0.1987,   0.3226,   0.0000,  -0.5895,  1.05891,  0.05744,  0.00000,  1.06046
  0.1987,   0.3548,   0.0000,  -0.5935,  1.05041,  0.04500,  0.00000,  1.05137
  0.1987,   0.3871,   0.0000,  -0.5968,  1.04426,  0.03378,  0.00000,  1.04481
  0.1987,   0.4194,   0.0000,  -0.5993,  1.04003,  0.02348,  0.00000,  1.04030
  0.1987,   0.4516,   0.0000,  -0.6009,  1.03739,  0.01383,  0.00000,  1.03748
  0.1987,   0.4839,   0.0000,  -0.6017,  1.03611,  0.00457,  0.00000,  1.03612
  0.1987,   0.5161,   0.0000,  -0.6017,  1.03611, -0.00457,  0.00000,  1.03612
  0.1987,   0.5484,   0.0000,  -0.6009,  1.03739, -0.01383,  0.00000,  1.03748
  0.1987,   0.5806,   0.0000,  -0.5993,  1.04003, -0.02348,  0.00000,  1.04030
  0.1987,   0.6129,   0.0000,  -0.5968,  1.04426, -0.03378,  0.00000,  1.04481
  0.1987,   0.6452,   0.0000,  -0.5935,  1.05041, -0.04500,  0.00000,  1.05137
  0.1987,   0.6774,   0.0000,  -0.5895,  1.05891, -0.05744,  0.00000,  1.06046
  0.1987,   0.7097,   0.0000,  -0.5849,  1.07018, -0.07131,  0.00000,  1.07255
  0.1987,   0.7419,   0.0000,  -0.5799,  1.08434, -0.08663,  0.00000,  1.08780
  0.1987,   0.7742,   0.0000,  -0.5747,  1.10061, -0.10297,  0.00000,  1.10541
  0.1987,   0.8065,   0.0000,  -0.5699,  1.11605, -0.11904,  0.00000,  1.12238
  0.1987,   0.8387,   0.0000,  -0.5662,  1.12352, -0.13216,  0.00000,  1.13127
  0.1987,   0.8710,   0.0000,  -0.5646,  1.10827, -0.13775,  0.00000,  1.11679
  0.1987,   0.9032,   0.0000,  -0.5661,  1.04262, -0.12926,  0.00000,  1.05060
  0.1987,   0.9355,   0.0000,  -0.5717,  0.87868, -0.09964,  0.00000,  0.88431
  0.1987,   0.9677,   0.0000,  -0.5819,  0.54547, -0.04779,  0.00000,  0.54756
  0.1987,   1.0000,   0.0000,  -0.5883,  0.00000,  0.00000,  0.00000,  0.00000
  0.2649,   0.0000,   0.0000,  -0.6484,  0.00000,  0.00000,  0.00000,  0.00000
  0.2649,   0.0323,   0.0000,  -0.6431,  0.46245,  0.02626,  0.00000,  0.46319
  0.2649,   0.0645,   0.0000,  -0.6334,  0.79640,  0.06797,  0.00000,  0.79929
  0.2649,   0.0968,   0.0000,  -0.6253,  0.99431,  0.10011,  0.00000,  0.99934
  0.2649,   0.1290,   0.0000,  -0.6190,  1.09377,  0.11674,  0.00000,  1.09998
  0.2649,   0.1613,   0.0000,  -0.6147,  1.13299,  0.12001,  0.00000,  1.13933
  0.2649,   0.1935,   0.0000,  -0.6124,  1.13933,  0.11414,  0.00000,  1.14503
  0.2649,   0.2258,   0.0000,  -0.6117,  1.13007,  0.10306,  0.00000,  1.13476
  0.2649,   0.2581,   0.0000,  -0.6121,  1.11520,  0.08965,  0.00000,  1.11880
  0.2649,   0.2903,   0.0000,  -0.6133,  1.09992,  0.07569,  0.00000,  1.10252
  0.2649,   0.3226,   0.0000,  -0.6147,  1.08654,  0.06213,  0.00000,  1.08831
  0.2649,   0.3548,   0.0000,  -0.6163,  1.07579,  0.04936,  0.00000,  1.07693
  0.2649,   0.3871,   0.0000,  -0.6177,  1.06769,  0.03741,  0.00000,  1.06834
  0.2649,   0.4194,   0.0000,  -0.6188,  1.06196,  0.02619,  0.00000,  1.06228
  0.2649,   0.4516,   0.0000,  -0.6196,  1.05831,  0.01549,  0.00000,  1.05842
  0.2649,   0.4839,   0.0000,  -0.6200,  1.05653,  0.00513,  0.00000,  1.05655
  0.2649,   0.5161,   0.0000,  -0.6200,  1.05653, -0.00513,  0.00000,  1.05655
  0.2649,   0.5484,   0.0000,  -0.6196,  1.05831, -0.01549,  0.00000,  1.05842
  0.2649,   0.5806,   0.0000,  -0.6188,  1.06196, -0.02619,  0.00000,  1.06228
  0.2649,   0.6129,   0.0000,  -0.6177,  1.06769, -0.03741,  0.00000,  1.06834
  0.2649,   0.6452,   0.0000,  -0.6163,  1.07579, -0.04936,  0.00000,  1.07693
  0.2649,   0.6774,   0.0000,  -0.6147,  1.08654, -0.06213,  0.00000,  1.08831
  0.2649,   0.7097,   0.0000,  -0.6133,  1.09992, -0.07569,  0.00000,  1.10252
  0.2649,   0.7419,   0.0000,  -0.6121,  1.11520, -0.08965,  0.00000,  1.11880
  0.2649,   0.7742,   0.0000,  -0.6117,  1.13007, -0.10306,  0.00000,  1.13476
  0.2649,   0.8065,   0.0000,  -0.6124,  1.13933, -0.11414,  0.00000,  1.14503
  0.2649,   0.8387,   0.0000,  -0.6147,  1.13299, -0.12001,  0.00000,  1.13933
  0.2649,   0.8710,   0.0000,  -0.6190,  1.09377, -0.11674,  0.00000,  1.09998
  0.2649,   0.9032,   0.0000,  -0.6253,  0.99431, -0.10011,  0.00000,  0.99934
  0.2649,   0.9355,   0.0000,  -0.6334,  0.79640, -0.06797,  0.00000,  0.79929
  0.2649,   0.9677,   0.0000,  -0.6431,  0.46245, -0.02626,  0.00000,  0.46319
  0.2649,   1.0000,   0.0000,  -0.6484,  0.00000,  0.00000,  0.00000,  0.00000
  0.3311,   0.0000,   0.0000,  -0.6836,  0.00000,  0.00000,  0.00000,  0.00000
  0.3311,   0.0323,   0.0000,  -0.6798,  0.40593,  0.01540,  0.00000,  0.40622
  0.3311,   0.0645,   0.0000,  -0.6725,  0.72706,  0.04677,  0.00000,  0.72856
  0.3311,   0.0968,   0.0000,  -0.6657,  0.94249,  0.07619,  0.00000,  0.94556
  0.3311,   0.1290,   0.0000,  -0.6591,  1.06742,  0.09558,  0.00000,  1.07169
  0.3311,   0.1613,   0.0000,  -0.6533,  1.12886,  0.10399,  0.00000,  1.13364
  0.3311,   0.1935,   0.0000,  -0.6487,  1.15084,  0.10351,  0.00000,  1.15548
  0.3311,   0.2258,   0.0000,  -0.6453,  1.15090,  0.09695,  0.00000,  1.15497
  0.3311,   0.2581,   0.0000,  -0.6430,  1.14055,  0.08682,  0.00000,  1.14385
  0.3311,   0.2903,   0.0000,  -0.6417,  1.12667,  0.07499,  0.00000,  1.12916
  0.3311,   0.3226,   0.0000,  -0.6410,  1.11297,  0.06264,  0.00000,  1.11473
  0.3311,   0.3548,   0.0000,  -0.6407,  1.10116,  0.05041,  0.00000,  1.10231
  0.3311,   0.3871,   0.0000,  -0.6407,  1.09183,  0.03857,  0.00000,  1.09251
  0.3311,   0.4194,   0.0000,  -0.6408,  1.08503,  0.02717,  0.00000,  1.08537
  0.3311,   0.4516,   0.0000,  -0.6409,  1.08062,  0.01614,  0.00000,  1.08074
  0.3311,   0.4839,   0.0000,  -0.6409,  1.07845,  0.00535,  0.00000,  1.07846
  0.3311,   0.5161,   0.0000,  -0.6409,  1.07845, -0.00535,  0.00000,  1.07846
  0.3311,   0.5484,   0.0000,  -0.6409,  1.08062, -0.01614,  0.00000,  1.08074
  0.3311,   0.5806,   0.0000,  -0.6408,  1.08503, -0.02717,  0.00000,  1.08537
  0.3311,   0.6129,   0.0000,  -0.6407,  1.09183, -0.03857,  0.00000,  1.09251
  0.3311,   0.6452,   0.0000,  -0.6407,  1.10116, -0.05041,  0.00000,  1.10231
  0.3311,   0.6774,   0.0000,  -0.6410,  1.11297, -0.06264,  0.00000,  1.11473
  0.3311,   0.7097,   0.0000,  -0.6417,  1.12667, -0.07499,  0.00000,  1.12916
  0.3311,   0.7419,   0.0000,  -0.6430,  1.14055, -0.08682,  0.00000,  1.14385
  0.3311,   0.7742,   0.0000,  -0.6453,  1.15090, -0.09695,  0.00000,  1.15497
  0.3311,   0.8065,   0.0000,  -0.6487,  1.15084, -0.10351,  0.00000,  1.15548
  0.3311,   0.8387,   0.0000,  -0.6533,  1.12886, -0.10399,  0.00000,  1.13364
  0.3311,   0.8710,   0.0000,  -0.6591,  1.06742, -0.09558,  0.00000,  1.07169
  0.3311,   0.9032,   0.0000,  -0.6657,  0.94249, -0.07619,  0.00000,  0.94556
  0.3311,   0.9355,   0.0000,  -0.6725,  0.72706, -0.04677,  0.00000,  0.72856
  0.3311,   0.9677,   0.0000,  -0.6798,  0.40593, -0.01540,  0.00000,  0.40622
  0.3311,   1.0000,   0.0000,  -0.6836,  0.00000,  0.00000,  0.00000,  0.00000
  0.3974,   0.0000,   0.0000,  -0.7085,  0.00000,  0.00000,  0.00000,  0.00000
  0.3974,   0.0323,   0.0000,  -0.7059,  0.36643,  0.00989,  0.00000,  0.36657
  0.3974,   0.0645,   0.0000,  -0.7007,  0.67159,  0.03315,  0.00000,  0.67241
  0.3974,   0.0968,   0.0000,  -0.6954,  0.89410,  0.05823,  0.00000,  0.89600
  0.3974,   0.1290,   0.0000,  -0.6899,  1.03670,  0.07745,  0.00000,  1.03958
  0.3974,   0.1613,   0.0000,  -0.6843,  1.11672,  0.08828,  0.00000,  1.12020
  0.3974,   0.1935,   0.0000,  -0.6792,  1.15379,  0.09126,  0.00000,  1.15739
  0.3974,   0.2258,   0.0000,  -0.6749,  1.16432,  0.08816,  0.00000,  1.16765
  0.3974,   0.2581,   0.0000,  -0.6714,  1.16026,  0.08097,  0.00000,  1.16309
  0.3974,   0.2903,   0.0000,  -0.6687,  1.14956,  0.07135,  0.00000,  1.15178
  0.3974,   0.3226,   0.0000,  -0.6668,  1.13701,  0.06053,  0.00000,  1.13862
  0.3974,   0.3548,   0.0000,  -0.6654,  1.12521,  0.04928,  0.00000,  1.12629
  0.3974,   0.3871,   0.0000,  -0.6644,  1.11540,  0.03802,  0.00000,  1.11604
  0.3974,   0.4194,   0.0000,  -0.6638,  1.10800,  0.02694,  0.00000,  1.10833
  0.3974,   0.4516,   0.0000,  -0.6634,  1.10310,  0.01607,  0.00000,  1.10322
  0.3974,   0.4839,   0.0000,  -0.6632,  1.10067,  0.00534,  0.00000,  1.10068
  0.3974,   0.5161,   0.0000,  -0.6632,  1.10067, -0.00534,  0.00000,  1.10068
  0.3974,   0.5484,   0.0000,  -0.6634,  1.10310, -0.01607,  0.00000,  1.10322
  0.3974,   0.5806,   0.0000,  -0.6638,  1.10800, -0.02694,  0.00000,  1.10833
  0.3974,   0.6129,   0.0000,  -0.6644,  1.11540, -0.03802,  0.00000,  1.11604
  0.3974,   0.6452,   0.0000,  -0.6654,  1.12521, -0.04928,  0.00000,  1.12629
  0.3974,   0.6774,   0.0000,  -0.6668,  1.13701, -0.06053,  0.00000,  1.13862
  0.3974,   0.7097,   0.0000,  -0.6687,  1.14956, -0.07135,  0.00000,  1.15178
  0.3974,   0.7419,   0.0000,  -0.6714,  1.16026, -0.08097,  0.00000,  1.16309
